uid,lon,lat,footprint_wkt,area_m2,damage_class,confidence,source,tile
1,36.8654860,37.3790733,"POLYGON ((36.86612080000003 37.37781380000007, 36.86556040000005 37.37764100000004, 36.86502520000005 37.37798660000004, 36.864147100000025 37.378511600000024, 36.86399335900006 37.37914289200006, 36.86391246100004 37.38051966000006, 36.864598700000045 37.38036580000005, 36.86698220000005 37.37974110000005, 36.86716620000004 37.37827240000007, 36.86612080000003 37.37781380000007))",63595.7,major-damage,1.0,emsr648,AOI17
1,36.8372166,37.3710513,"POLYGON ((36.83782606800003 37.370990135000056, 36.83772701700008 37.37082762000006, 36.83695568400003 37.371033357000044, 36.83694756700004 37.37103525500004, 36.83661151800004 37.371103050000045, 36.836693797000066 37.371273546000054, 36.83748849500006 37.37107125800003, 36.837490255000034 37.371070823000025, 36.83782606800003 37.370990135000056))",1985.9,no-damage,1.0,emsr648,AOI17
1,36.8373708,37.3713832,"POLYGON ((36.838009029000034 37.371290342000066, 36.83792611500007 37.37115429000005, 36.83755622700005 37.371243166000056, 36.836776386000054 37.37144167200006, 36.836865415000034 37.37162014200004, 36.83697660200005 37.37159147400007, 36.83757743000007 37.37141667700007, 36.838009029000034 37.371290342000066))",2075.4,no-damage,1.0,emsr648,AOI17
1,36.8375798,37.3717221,"POLYGON ((36.83822672200006 37.37164765400007, 36.838108282000064 37.37145323200008, 36.837654970000074 37.371585923000055, 36.83705193900005 37.37176136100004, 36.83704800700008 37.371762439000065, 36.83694186200006 37.37178980700003, 36.83702363500004 37.37199101500005, 36.83777125200004 37.371783847000074, 36.83783777200006 37.37176393100003, 36.83783878600008 37.37176362900004, 36.83822672200006 37.37164765400007))",2653.9,no-damage,1.0,emsr648,AOI17
1,36.8364903,37.3719964,"POLYGON ((36.83680979600007 37.37204892900007, 36.83672700300008 37.37184520900007, 36.836576810000054 37.37188393800005, 36.83656978600004 37.37188555100005, 36.83656264600006 37.37188679800005, 36.83608567500005 37.371957251000026, 36.836133887000074 37.37198317800005, 36.83614336900007 37.371988877000035, 36.83614412000003 37.37198938500006, 36.836233320000076 37.372050185000035, 36.836239643000056 37.372054838000054, 36.836303343000054 37.37210543800006, 36.83631018400007 37.37211138300006, 36.83631286800005 37.37211403600003, 36.83634001300004 37.37214193300008, 36.83680979600007 37.37204892900007))",1165.2,no-damage,1.0,emsr648,AOI17
1,36.8370893,37.3723188,"POLYGON ((36.836939253000025 37.37236414200004, 36.83761610000005 37.372203650000074, 36.83766544900004 37.37230589300003, 36.83796119900006 37.37224791400007, 36.83781426100006 37.37196268800005, 36.83699041500006 37.372190974000034, 36.83698881300006 37.37219142300006, 36.83689559700008 37.37221722700008, 36.836885782000024 37.37221955200005, 36.83645427400006 37.372304979000035, 36.83645501900003 37.37230941000007, 36.83645549200003 37.37231682300006, 36.83645969300005 37.372661023000035, 36.836459698000056 37.372661900000026, 36.83645959300003 37.37266579800007, 36.836457892000055 37.37269714300004, 36.836877781000055 37.37265993400007, 36.83685131400006 37.37256521300003, 36.83703202400005 37.37251486900004, 36.836939253000025 37.37236414200004))",3931.7,no-damage,1.0,emsr648,AOI17
1,36.8386840,37.3713643,"POLYGON ((36.83876079600003 37.37085341000005, 36.83831035000003 37.37013589500003, 36.83817197400003 37.370205922000025, 36.838040861000025 37.37000331100006, 36.83758320900006 37.37017949600005, 36.83788672500003 37.37067769300006, 36.83808712300004 37.371006488000035, 36.838266728000065 37.37130119600005, 36.838484030000075 37.37165789800008, 36.83915170500006 37.37275365800008, 36.83974811000007 37.37243910700005, 36.83946010400007 37.371975074000034, 36.839137925000045 37.37145412700005, 36.83876079600003 37.37085341000005))",18912.5,no-damage,1.0,emsr648,AOI17
1,36.8362258,37.3706747,"POLYGON ((36.835777912000026 37.37186858300004, 36.83578168100007 37.37186132100004, 36.835786228000075 37.371854349000046, 36.83579152000004 37.37184771900007, 36.83579751600007 37.371841483000026, 36.835804170000074 37.37183568800003, 36.835811431000025 37.37183037700004, 36.83581916000003 37.371825640000054, 36.83582737100005 37.37182145200006, 36.83587846100005 37.37179781000003, 36.83588728800004 37.37179413900003, 36.83589638700005 37.371791131000066, 36.835905780000076 37.371788768000044, 36.835915396000075 37.371787066000024, 36.835925160000045 37.371786040000075, 36.83593500000006 37.371785697000064, 36.83594284000003 37.37178591500003, 36.835987945000056 37.371788421000076, 36.836514356000066 37.37171066500008, 36.83665008300005 37.371675666000044, 36.83656085600006 37.371496800000045, 36.83598426900005 37.371650647000024, 36.83569764500004 37.371730814000045, 36.83548060800007 37.37184894100005, 36.83547344800007 37.37185253100006, 36.83546471200003 37.37185616100004, 36.83545561300008 37.37185916900006, 36.83544622000005 37.371861532000025, 36.83543660400005 37.371863234000045, 36.835426840000025 37.37186426000005, 36.835417000000064 37.37186460300006, 36.835407160000045 37.37186426000005, 36.835397396000076 37.371863234000045, 36.835387780000076 37.371861532000025, 36.83537838700005 37.37185916900006, 36.83536928800004 37.37185616100004, 36.835360552000054 37.37185253100006, 36.835352245000024 37.37184830800004, 36.83534443100007 37.37184352300005, 36.83533717000006 37.37183821200006, 36.835330516000056 37.371832417000064, 36.83532452000003 37.371826181000074, 36.83531922800006 37.371819551000044, 36.83531468100006 37.37181257900005, 36.83531091200007 37.37180531700005, 36.83530795000007 37.37179782000004, 36.83530581800005 37.37179014600008, 36.835304533000055 37.37178235300007, 36.835304103000055 37.37177450000007, 36.835304533000055 37.37176664700007, 36.83530581800005 37.37175885400006, 36.83530795000007 37.37175118000005, 36.83531091200007 37.371743683000034, 36.83531468100006 37.37173642100004, 36.83531922900005 37.37172944900004, 36.83532452000003 37.37172281900007, 36.835330516000056 37.37171658300008, 36.83533717000006 37.37171078800003, 36.83534443100007 37.371705477000035, 36.83535339300005 37.371700059000034, 36.83558269200006 37.37157526000004, 36.835589852000055 37.37157166900005, 36.83559858800004 37.37156803900007, 36.83560768700005 37.371565031000046, 36.83560896200004 37.371564668000076, 36.83591036200005 37.37148036800005, 36.835911904000056 37.37147994700007, 36.83647848700008 37.37132876900006, 36.83639102300003 37.37114753100008, 36.83583891100005 37.37125890500005, 36.83559118900007 37.37135898900004, 36.83557881300004 37.37136326900003, 36.83556942000007 37.37136563200005, 36.83555980400007 37.37136733400007, 36.835550040000044 37.371368360000076, 36.835540200000025 37.37136870300003, 36.83537880000006 37.37136870300003, 36.83536896000004 37.371368360000076, 36.83535919600007 37.37136733400007, 36.83534958000007 37.37136563200005, 36.83534018700004 37.37136326900003, 36.83533108800003 37.37136026100006, 36.83532235200005 37.371356631000026, 36.835314045000075 37.371352408000064, 36.83530623200005 37.37134762300008, 36.83529897000005 37.371342312000024, 36.83529231600005 37.37133651700003, 36.83528632100007 37.37133028100004, 36.83528102900004 37.37132365100007, 36.83527648100005 37.371316679000074, 36.83527271200006 37.37130941700008, 36.835269751000055 37.371301920000064, 36.835267619000035 37.37129424600005, 36.83526633300005 37.37128645300004, 36.83526590400004 37.37127860000004, 36.83526633400004 37.37127074700004, 36.835267619000035 37.37126295400003, 36.835269751000055 37.37125528000007, 36.83527271200006 37.37124778300006, 36.83527648100005 37.37124052100006, 36.83528102900004 37.37123354900007, 36.83528632100007 37.37122691900004, 36.83529231700004 37.37122068300005, 36.83529897000005 37.371214888000054, 36.83530623200005 37.37120957700006, 36.835314046000065 37.37120479200007, 36.83532235200005 37.37120056900005, 36.83533108800003 37.37119693900007, 36.83534018700004 37.37119393100005, 36.83534958000007 37.37119156800003, 36.83535919600007 37.371189866000066, 36.83536896000004 37.37118884000006, 36.83537880000006 37.37118849700005, 36.835513253000045 37.37118849700005, 36.83574811100004 37.37109361100005, 36.83576048700007 37.371089331000064, 36.83577143600007 37.37108664400006, 36.83630885200006 37.37097823500005, 36.836177501000066 37.370708824000076, 36.83601208700003 37.37050984900003, 36.835907579000036 37.37043641400004, 36.83575489700007 37.37037576400007, 36.835748753000075 37.370373131000065, 36.835740446000045 37.370368908000046, 36.83573263300008 37.37036412300006, 36.83572537100008 37.37035881200006, 36.83571871800007 37.37035301700007, 36.83571272200004 37.37034678100008, 36.83570743000007 37.37034015100005, 36.83570288300007 37.370333179000056, 36.83569911400008 37.37032591700006, 36.835696152000025 37.370318420000046, 36.83569402000006 37.37031074600003, 36.835692735000066 37.37030295300008, 36.835692305000066 37.37029510000008, 36.835692735000066 37.37028724700008, 36.83569402100005 37.37027945400007, 36.835696152000025 37.37027178000005, 36.83569911400008 37.37026428300004, 36.83570288300007 37.37025702100004, 36.83570743000007 37.37025004900005, 36.83571272200004 37.370243419000076, 36.83571871800007 37.37023718300003, 36.83572537200007 37.370231388000036, 36.83573263300008 37.37022607700004, 36.835740446000045 37.37022129200005, 36.835748753000075 37.370217069000034, 36.83575748900006 37.370213439000054, 36.83576658800007 37.37021043100003, 36.83577598100004 37.37020806800007, 36.83578559600005 37.37020636600005, 36.835795361000066 37.37020534000004, 36.83580520000004 37.37020499700003, 36.83581503900007 37.37020534000004, 36.835824804000026 37.37020636600005, 36.83583441900004 37.37020806800007, 36.835843812000064 37.37021043100003, 36.83585550300006 37.370214436000026, 36.836021403000075 37.370280336000064, 36.83602754700007 37.37028296900007, 36.836035854000045 37.370287192000035, 36.83604366700007 37.37029197700008, 36.836045702000035 37.37029337300004, 36.83617250200007 37.37038247300006, 36.836178672000074 37.37038714900007, 36.836184382000056 37.370392183000035, 36.83619197200005 37.37040028500007, 36.83637237200003 37.37061728500004, 36.83637607000003 37.370622049000076, 36.83638008600008 37.37062812400006, 36.836383511000065 37.37063442600004, 36.83652943900006 37.37093373500005, 36.836888130000034 37.370861373000025, 36.83762742700003 37.37066418100005, 36.83708267600008 37.36977001200006, 36.83698844600008 37.369631457000025, 36.83655798600006 37.36977597500004, 36.836471999000025 37.36964921600003, 36.83596687200003 37.36981284500007, 36.83611644900003 37.37006595300005, 36.835943033000035 37.37010978400008, 36.83581620000007 37.36985777600006, 36.835620394000046 37.36991380400008, 36.83565292500003 37.370081312000025, 36.83530534700003 37.370480308000026, 36.83550689200007 37.37055882100003, 36.83493480300007 37.37133442000004, 36.835309445000064 37.37163685200005, 36.83503384200003 37.371870252000065, 36.83526012900006 37.37205323100005, 36.83539574800005 37.37193746300005, 36.83550314900003 37.37192434100007, 36.83577153300007 37.371891547000075, 36.835772818000066 37.371883754000066, 36.83577495000003 37.37187608000005, 36.835777912000026 37.37186858300004))",26700.1,no-damage,1.0,emsr648,AOI17
1,36.8386468,37.3727127,"POLYGON ((36.838959224000064 37.37284982800003, 36.838697367000066 37.37242007800006, 36.83834908500006 37.372531983000044, 36.83857492300007 37.37301513500006, 36.838702313000056 37.37296964600006, 36.838959224000064 37.37284982800003))",1993.6,no-damage,1.0,emsr648,AOI17
1,36.8380160,37.3728859,"POLYGON ((36.83836839400004 37.373088876000054, 36.83811628700005 37.372549520000064, 36.83766309200007 37.37266372100004, 36.837660964000065 37.37266423900007, 36.83765442300006 37.37266577500003, 36.83793491500006 37.37323670200004, 36.838040729000056 37.37320585600003, 36.83836839400004 37.373088876000054))",2799.9,no-damage,1.0,emsr648,AOI17
