uid,lon,lat,damage_class,confidence,source,tile
3a5a5786-0a52-47b8-9acb-05e585d93a1f,-99.2276218,19.3239066,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
eb976e24-e1b2-4700-8637-6cdccc3f9b79,-99.2247485,19.3257245,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
76667c18-a00a-4a02-8d87-d82355f30338,-99.2249718,19.3258125,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
36cef20f-b16e-41d8-b4a0-353299c11427,-99.2245237,19.3260276,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
218360f9-6ec1-4aa4-bf6e-b9056ad63f15,-99.2242381,19.3257918,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
bdf23fd9-41f4-47f5-94cf-6f19e5344123,-99.2243455,19.3260870,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
90ce37a7-eec5-49ff-a182-0ed79700cd3b,-99.2242922,19.3260291,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
575b69be-38bb-4e17-bb80-ef4bf144cd11,-99.2284977,19.3235304,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
3c5b6960-3c78-41a8-bbb9-84e374ddf9df,-99.2271914,19.3267611,minor-damage,1.0,xbd_gt,mexico-earthquake_00000000
348fd93d-15ec-4453-bec2-16e9582dd6ec,-99.2274356,19.3266657,minor-damage,1.0,xbd_gt,mexico-earthquake_00000000
09eaca4b-2833-4223-abfd-141b8d36c55e,-99.2270820,19.3269249,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
12f0a273-b23b-42e1-b0eb-b07aacc02a29,-99.2270180,19.3268548,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
a55d9ea4-d119-42bf-a72d-e832120875b9,-99.2268140,19.3269026,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
4e48b797-0aff-45e3-a1a6-9d8eb30bdc10,-99.2275754,19.3263911,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
1dca3bc4-8442-4dac-b9d4-f733a51b2f7a,-99.2278539,19.3263346,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
33301de9-2ec0-4ca9-9749-7af50fbe9b8d,-99.2281081,19.3267928,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
64670dcb-79db-49f4-a05d-a89e7b99ba44,-99.2282546,19.3268141,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
211fb4c9-accf-4d1c-8f42-db45fa7f7c48,-99.2283419,19.3267986,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
45e9fc55-e10b-43a1-b030-0f30cc26329f,-99.2282868,19.3267202,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
093faabd-f11a-4078-93ac-b71b5e961c97,-99.2282299,19.3265632,no-damage,1.0,xbd_gt,mexico-earthquake_00000000
