sira,uid,kisa,tile,sinif,alan_m2,bina_katkisi,kenar_toplam_dp,en_yakin_m,yol_tipi,W_m,UZMAN_KARARI,UYUMLU_MU,NOT
1,d4960fb3-a195-4c1a-80fd-44410619e58e,d4960fb3,mexico-earthquake_00000049,major-damage,79.7,0.085,0.275,2.1,tertiary,9.0,difficult,hayir,"d4960fb3, major-damage, 80 m2, d=2.1m, tertiary W=9m. Uzman: difficult -- kesin bir engel tespit edilmedi, agaclar ve goruntu bulaniklidi nedeniyle yol yuzeyi net degerlendirilemiyor, belirsizlik nedeniyle difficult (ihtiyati karar, 3/6/15 ile ayni desen). Kural (bina_katkisi=0.085 < T_DIFF=0.20) passable uretiyor -> AYRISMA (goruntu okunurlugu kaynakli)."
2,9b1faa0c-a6a8-400d-bb70-c4f36807b48a,9b1faa0c,mexico-earthquake_00000049,major-damage,92.5,0.118,0.313,3.8,residential,7.0,passable,evet,"9b1faa0c, major-damage, 92 m2, d=3.8m. GOZDEN GECIRILDI: ilk karar difficult idi, kriter netlestirildikten sonra (yol yuzeyinde fiziksel engel yoksa passable) tekrar degerlendirildi. Yol uzerinde moloz/engel gorulmuyor. Uzman: passable. Kural (bina_katkisi=0.118 < T_DIFF=0.20) passable uretiyor -> UYUMLU."
3,3bd50bb2-3faa-4c59-ba53-3b2e0c95ad1c,3bd50bb2,mexico-earthquake_00000049,major-damage,128.9,0.157,0.313,4.8,residential,7.0,difficult,hayir,"3bd50bb2, major-damage, 129 m2, d=4.8m. GOZDEN GECIRILDI: kriter netlestirildikten sonra tekrar degerlendirildi, karar degismedi. Gerekce degisti: post goruntu bulanik, sokak dokusu cok dar -- yol yuzeyi net degerlendirilemiyor, belirsizlik nedeniyle difficult (ihtiyati karar). Kural (bina_katkisi=0.157 < T_DIFF=0.20) passable uretiyor -> AYRISMA (goruntu kalitesi/belirsizlik kaynakli)."
4,53158c23-0b5b-468f-bf2d-f6b467edbe3b,53158c23,mexico-earthquake_00000052,major-damage,50.5,0.069,0.117,2.2,residential,7.0,passable,evet,"53158c23, major-damage, 50 m2, d=2.2m. Yakin kirpmada catir orgusu buyuk olcude korunmus, belirgin yikim izi yok. Uzman: passable -- yol uzerinde fiziksel engel gorulmedigi icin passable, difficult degil (16 ile ayni gerekce). Kural (bina_katkisi=0.069 < T_DIFF=0.20) passable uretiyor -> UYUMLU."
5,fff233de-99e1-4e66-abc0-aba3599946ae,fff233de,mexico-earthquake_00000052,major-damage,271.2,0.397,0.431,0.6,residential,7.0,difficult,evet,"fff233de, major-damage, 271 m2, d=0.6m. Yakin kirpmada catir orgusu belirgin bicimde bozulmus, duzenli oda bolmeleri kaybolmus, yigisik/daginik doku var. Uzman: gecilebilir ama zor. Kural (bina_katkisi=0.397, T_DIFF=0.20 ile T_CLOSED=0.50 arasi) difficult uretiyor -> UYUMLU."
6,8a6ceb0f-c9ca-4312-a2b0-cb01044b7e5a,8a6ceb0f,mexico-earthquake_00000052,major-damage,199.4,0.175,0.175,8.5,residential,7.9,difficult,hayir,"8a6ceb0f, major-damage, 199 m2, d=8.5m. GOZDEN GECIRILDI: kriter netlestirildikten sonra tekrar degerlendirildi, karar degismedi. Gerekce: yol kenarlari bozuk/duzensiz gorunuyor, sokak cok dar -- fiziksel zorluk yol yuzeyinden kaynaklaniyor. Kural (bina_katkisi=0.175 < T_DIFF=0.20) passable uretiyor -> AYRISMA."
7,5d0b8a88-54ed-4829-a57f-e4b568484f47,5d0b8a88,mexico-earthquake_00000052,major-damage,51.2,0.052,0.117,8.1,residential,7.0,difficult,hayir,"5d0b8a88, major-damage, 51 m2, d=8.1m. Bina yikilmis (destroyed seviyesinde gorunuyor ama etiket major-damage), yol uzerinde enkaz var. Fiziksel gecis: enkaz aracin gecebilecegi bosluk birakiyor (tam kapanma degil). Uzman: difficult. Kural (bina_katkisi=0.052 < T_DIFF=0.20) passable uretiyor -> AYRISMA (kucuk alanli bina, mesafe agirligi katkiyi dusuruyor ama gorsel hasar/enkaz ciddi)."
8,1faf1760-eaf4-4111-9643-4e3ef3cdd23f,1faf1760,mexico-earthquake_00000052,major-damage,247.1,0.271,0.271,4.4,residential,7.9,difficult,evet,"1faf1760, major-damage, 247 m2, d=4.4m. Yakin kirpmada catir orgusu buyuk olcude korunmus, belirgin yikim izi yok, hafif renk/doku farki var. Uzman: gecilebilir ama zor. Kural (bina_katkisi=0.271, T_DIFF=0.20 ile T_CLOSED=0.50 arasi) difficult uretiyor -> UYUMLU."
9,adbab63d-8d84-4d91-bcbb-a47923c35b19,adbab63d,mexico-earthquake_00000059,major-damage,587.8,0.0,0.0,-1.0,-,0.0,passable,evet,"adbab63d, major-damage, 588 m2. Sanayi/depo kompleksi icinde, cevresinde sadece dahili saha/yukleme alanlari var, kamuya acik cadde 25m icinde yok -- OSM'in bu tesis ici erisim yollarini highway olarak etiketlememesi beklenen/makul bir durum, eksik veri degil. Uzman: passable (bina isaretli yola cok uzak, etkisi minimal). Kural bu binaya hicbir kenar atamiyor (katki=0, en_yakin_m=-1) -> fiilen UYUMLU."
10,229ba083-b2b3-4c65-8e0c-8b2fc722eb8a,229ba083,mexico-earthquake_00000059,destroyed,804.3,0.398,0.759,15.1,residential,7.0,difficult,evet,"destroyed, 804 m2 ama yoldan 15.1 m uzakta; mesafe agirligi katkiyi 0.398e dusuruyor. NOT: f3865521 ile ayni karoda, merkezler arasi 25.5 m, poligonlar kesismiyor -> iki AYRI bitisik nizam komsu. Ikisi de ayni sokaga bakiyor; K-19 bagimsizlik varsayiminin zayifladigi somut ornek."
11,f3865521-1035-4dd1-9962-4c8f91a87df8,f3865521,mexico-earthquake_00000059,major-damage,858.1,0.6,0.759,0.0,residential,7.0,closed,evet,"Bina yolun ustunde (d=0.0), 858 m2, tamamen cokmus. Genis kirpmada yikim secilmedi, yakin kirpma ile dogrulandi."
12,081e6c40-34d9-4ced-84cb-b01bcf593631,081e6c40,mexico-earthquake_00000084,major-damage,90.9,0.0,0.0,-1.0,-,0.0,belirsiz,,"081e6c40, major-damage, 91 m2. Bina bir lunapark/eglence parki icinde (roller coaster gorunuyor), genis yesil alan icinde en yakin kamusal yola 280 m -- izolasyon mantikli. Uzman: hasar degerlendirmesi yapilamadi (agaclar + goruntu bulanikligi nedeniyle once/sonra farki okunmuyor). Not: kural zaten bu binaya hicbir kenar atamiyor (katki=0, en_yakin_m=-1), yani gorsel karardan bagimsiz olarak rota planlamasina etkisi yok -- izolasyon dogrulandi, hasar durumu belirsiz kaldi."
